浙D FX02F,Jiaxing,Zhejiang,Thomas,Audi,2007,2016-08-10,Good
浙B J9715,Zhoushan,Zhejiang,Jony,Buick,2019,2022-03-06,Good
浙J 43D68,Lishui,Zhejiang,Thomas,Li Auto,2005,2018-01-25,Good
浙H F3FJ0,Hangzhou,Zhejiang,Edwin,Toyota,2015,2018-06-03,Good
浙C 56630,Huzhou,Zhejiang,Tim,Ford,2007,2022-05-12,Good
浙C Z3Z6S,Taizhou,Zhejiang,Charlie,Li Auto,2017,2018-07-10,Good
浙C 1J9C2,Jinhua,Zhejiang,Charlie,Chery,2022,2022-04-05,Good
浙K F519T,Zhoushan,Zhejiang,Leo,Xpeng,2018,2022-01-10,Impounded
浙F RJXL8,Jinhua,Zhejiang,Charlie,Geely,2016,2022-03-08,Good
浙J X1V8F,Hangzhou,Zhejiang,Evelyn,Bentley,2010,2022-06-12,Good
浙F 78HFJ,Huzhou,Zhejiang,Edwin,BYD,2014,2022-06-25,Good
浙J 17LVS,Lishui,Zhejiang,Simon,SAIC Volkwagen,2009,2019-02-01,Good
浙H 68F54,Jiaxing,Zhejiang,George,SAIC Volkwagen,2016,2021-12-06,Good
津A L0R09,Tianjin,Tianjin,Derek,Tesla,2008,2022-03-25,Good
浙J 6403S,Wenzhou,Zhejiang,Leo,Toyota,2008,2022-10-05,Written Off
赣C 8390Y,Nanchang,Jiangxi,Derek,Nio,2006,2022-08-22,Good
闽F 1T7K6,Fuzhou,Fujian,Tim,Mercedes Benz,2019,2019-11-10,Good
浙G TLT23,Ningbo,Zhejiang,Smart Cookie,Bentley,2011,2022-01-03,Impounded
浙D V77V6,Wenzhou,Zhejiang,Simon,Rolls Royce,2006,2022-03-07,Stolen
京L 97H7L,Beijing,Beijing,Derek,BMW,2010,2022-03-27,Good
浙L 1747M,Zhoushan,Zhejiang,Tim,Honda,2009,2022-02-20,Good
浙L 3S83B,Jiaxing,Zhejiang,Mark,Buick,2010,2022-04-30,Good
川J 33Z1M,Chengdu,Sichuan,Mark,Lamborghini,2017,2022-01-14,Written Off
浙D 2E9E2,Quzhou,Zhejiang,Tim,Buick,2019,2022-08-03,Wanted
浙J FHT3L,Quzhou,Zhejiang,Charlie,Tesla,2011,2022-03-02,Good
浙B 225Y3,Taizhou,Zhejiang,Charlie,Bentley,2019,2022-06-29,Good
云L 6XR9Z,Kunming,Yunnan,Armen,BMW,2011,2017-05-09,Good
浙F 10UX1,Wenzhou,Zhejiang,Tim,SAIC Volkwagen,2010,2017-01-02,Good
浙F SL8XT,Ningbo,Zhejiang,Tony,Ford,2014,2022-07-18,Good
浙J UA00J,Jinhua,Zhejiang,Evelyn,Audi,2019,2019-06-19,Good
浙H 8F4X8,Huzhou,Zhejiang,Armen,Lamborghini,2011,2022-07-26,Good
浙F 2Z3VB,Taizhou,Zhejiang,Edwin,Nio,2011,2018-12-31,Good
浙J U055J,Jiaxing,Zhejiang,Tim,Buick,2010,2022-01-09,Good
吉D E7ZZJ,Changchun,Jilin,Mark,BYD,2005,2022-05-19,Good
浙J N4T44,Ningbo,Zhejiang,Thomas,Chery,2010,2022-09-28,Good
浙L JFPH2,Jiaxing,Zhejiang,Mark,Tesla,2006,2022-06-11,Good
浙A 81742,Ningbo,Zhejiang,Evelyn,Ford,2020,2016-10-07,Good
苏L 933JA,Nanjing,Jiangsu,Leo,Tesla,2010,2022-03-03,Good
浙F S4E0Y,Lishui,Zhejiang,Charlie,Great Wall,2015,2019-11-01,Good
辽F B1Z7X,Shenyang,Liaoning,Evelyn,Great Wall,2021,2022-05-11,Good
浙L 4109P,Ningbo,Zhejiang,Leo,Rolls Royce,2022,2022-06-25,Good
浙A 35F63,Huzhou,Zhejiang,Smart Cookie,Audi,2016,2022-04-17,Good
浙E T35LB,Hangzhou,Zhejiang,Tony,Toyota,2016,2019-09-18,Good
赣J 56DZ6,Nanchang,Jiangxi,Tim,GAC,2018,2022-09-17,Good
浙J LV4FE,Quzhou,Zhejiang,Tony,Buick,2016,2022-08-17,Good
浙C 690H8,Taizhou,Zhejiang,George,Geely,2007,2021-12-28,Good
浙A 0947R,Lishui,Zhejiang,Jony,Geely,2009,2019-11-03,Good
浙E 70FTF,Jiaxing,Zhejiang,Tony,Toyota,2021,2021-12-18,Written Off
浙E X52N3,Huzhou,Zhejiang,Tony,BMW,2010,2021-03-23,Good
浙J 71CJ7,Quzhou,Zhejiang,Armen,Audi,2014,2022-07-02,Good
浙J 2UCL4,Lishui,Zhejiang,Edwin,Mercedes Benz,2019,2021-12-25,Good
晋E E88F9,Taiyuan,Shanxi,Tim,GAC,2018,2021-12-25,Good
浙J SPA32,Jiaxing,Zhejiang,Jony,BMW,2009,2022-09-24,Good
浙C J9E16,Jiaxing,Zhejiang,Smart Cookie,Nio,2009,2021-12-06,Good
京F 7911T,Beijing,Beijing,Leo,SAIC Volkwagen,2018,2022-03-03,Good
冀E J9YY7,Shijiazhuang,Hebei,Derek,Honda,2014,2022-07-10,Good
浙L HX131,Hangzhou,Zhejiang,Nigel,BMW,2012,2022-05-06,Good
浙F 0JU2R,Ningbo,Zhejiang,Smart Cookie,Aston Martin,2017,2022-07-23,Impounded
